districtid,weekid,dose1,dose2
AP_Krishna,68,99712,41564
AP_Krishna,69,29328,19280
AP_Krishna,70,40128,63668
AP_Krishna,71,85962,47349
AP_Krishna,72,127294,45350
AP_Krishna,73,153529,32553
AP_Krishna,74,70395,20777
AP_Kurnool,1,0,0
AP_Kurnool,2,0,0
AP_Kurnool,3,0,0
AP_Kurnool,4,0,0
AP_Kurnool,5,0,0
AP_Kurnool,6,0,0
AP_Kurnool,7,0,0
AP_Kurnool,8,0,0
AP_Kurnool,9,0,0
AP_Kurnool,10,0,0
AP_Kurnool,11,0,0
AP_Kurnool,12,0,0
AP_Kurnool,13,0,0
AP_Kurnool,14,0,0
AP_Kurnool,15,0,0
AP_Kurnool,16,0,0
AP_Kurnool,17,0,0
AP_Kurnool,18,0,0
AP_Kurnool,19,0,0
AP_Kurnool,20,0,0
AP_Kurnool,21,0,0
AP_Kurnool,22,0,0
AP_Kurnool,23,0,0
AP_Kurnool,24,0,0
AP_Kurnool,25,0,0
AP_Kurnool,26,0,0
AP_Kurnool,27,0,0
AP_Kurnool,28,0,0
AP_Kurnool,29,0,0
AP_Kurnool,30,0,0
AP_Kurnool,31,0,0
AP_Kurnool,32,0,0
AP_Kurnool,33,0,0
AP_Kurnool,34,0,0
AP_Kurnool,35,0,0
AP_Kurnool,36,0,0
AP_Kurnool,37,0,0
AP_Kurnool,38,0,0
AP_Kurnool,39,0,0
AP_Kurnool,40,0,0
AP_Kurnool,41,0,0
AP_Kurnool,42,0,0
AP_Kurnool,43,0,0
AP_Kurnool,44,0,0
AP_Kurnool,45,3572,0
AP_Kurnool,46,3057,0
AP_Kurnool,47,9757,0
AP_Kurnool,48,4804,507
AP_Kurnool,49,6159,5033
AP_Kurnool,50,6973,2790
AP_Kurnool,51,6273,3637
AP_Kurnool,52,11088,3614
AP_Kurnool,53,30788,4010
AP_Kurnool,54,59180,3822
AP_Kurnool,55,39595,3154
AP_Kurnool,56,67498,5689
AP_Kurnool,57,43961,3888
AP_Kurnool,58,37187,41220
AP_Kurnool,59,43758,28287
AP_Kurnool,60,12550,35190
AP_Kurnool,61,3352,13041
AP_Kurnool,62,9545,14680
AP_Kurnool,63,108733,4713
AP_Kurnool,64,62562,4565
AP_Kurnool,65,60533,1417
AP_Kurnool,66,28129,416
AP_Kurnool,67,119318,11516
AP_Kurnool,68,94180,20846
AP_Kurnool,69,9569,9939
AP_Kurnool,70,94945,57333
AP_Kurnool,71,29049,41838
AP_Kurnool,72,75143,79479
AP_Kurnool,73,72343,51593
AP_Kurnool,74,88877,40411
AP_Prakasam,1,0,0
AP_Prakasam,2,0,0
AP_Prakasam,3,0,0
AP_Prakasam,4,0,0
AP_Prakasam,5,0,0
AP_Prakasam,6,0,0
AP_Prakasam,7,0,0
AP_Prakasam,8,0,0
AP_Prakasam,9,0,0
AP_Prakasam,10,0,0
AP_Prakasam,11,0,0
AP_Prakasam,12,0,0
AP_Prakasam,13,0,0
AP_Prakasam,14,0,0
AP_Prakasam,15,0,0
AP_Prakasam,16,0,0
AP_Prakasam,17,0,0
AP_Prakasam,18,0,0
AP_Prakasam,19,0,0
AP_Prakasam,20,0,0
AP_Prakasam,21,0,0
AP_Prakasam,22,0,0
AP_Prakasam,23,0,0
AP_Prakasam,24,0,0
AP_Prakasam,25,0,0
AP_Prakasam,26,0,0
AP_Prakasam,27,0,0
AP_Prakasam,28,0,0
AP_Prakasam,29,0,0
AP_Prakasam,30,0,0
AP_Prakasam,31,0,0
AP_Prakasam,32,0,0
AP_Prakasam,33,0,0
AP_Prakasam,34,0,0
AP_Prakasam,35,0,0
AP_Prakasam,36,0,0
AP_Prakasam,37,0,0
AP_Prakasam,38,0,0
AP_Prakasam,39,0,0
AP_Prakasam,40,0,0
AP_Prakasam,41,0,0
AP_Prakasam,42,0,0
AP_Prakasam,43,0,0
AP_Prakasam,44,0,0
AP_Prakasam,45,6383,0
AP_Prakasam,46,2615,0
AP_Prakasam,47,4817,0
AP_Prakasam,48,7876,137
AP_Prakasam,49,3414,3506
AP_Prakasam,50,6550,2843
AP_Prakasam,51,5824,1596
AP_Prakasam,52,10784,2653
AP_Prakasam,53,25546,6845
AP_Prakasam,54,44152,3720
AP_Prakasam,55,52215,4021
AP_Prakasam,56,44883,4827
AP_Prakasam,57,57871,4532
AP_Prakasam,58,37395,32415
AP_Prakasam,59,44386,34129
AP_Prakasam,60,19314,34225
AP_Prakasam,61,1626,7033
AP_Prakasam,62,17266,26542
AP_Prakasam,63,114760,7894
AP_Prakasam,64,61460,14224
AP_Prakasam,65,72663,3336
AP_Prakasam,66,24697,1243
AP_Prakasam,67,157027,17632
AP_Prakasam,68,78892,16326
AP_Prakasam,69,24046,12173
AP_Prakasam,70,96432,32374
AP_Prakasam,71,19397,31970
AP_Prakasam,72,52507,120999
AP_Prakasam,73,64084,42403
AP_Prakasam,74,72828,46193
