stateid,weekid,dose1,dose2
LA,21,0,0
LA,22,0,0
LA,23,0,0
LA,24,0,0
LA,25,0,0
LA,26,0,0
LA,27,0,0
LA,28,0,0
LA,29,0,0
LA,30,0,0
LA,31,0,0
LA,32,0,0
LA,33,0,0
LA,34,0,0
LA,35,0,0
LA,36,0,0
LA,37,0,0
LA,38,0,0
LA,39,0,0
LA,40,0,0
LA,41,0,0
LA,42,0,0
LA,43,0,0
LA,44,9,0
LA,45,321,0
LA,46,629,0
LA,47,858,0
LA,48,1014,71
LA,49,2952,529
LA,50,3629,329
LA,51,4975,1049
LA,52,16350,926
LA,53,7582,2367
LA,54,1399,1382
LA,55,12989,228
LA,56,11811,1032
LA,57,2639,2749
LA,58,4557,14163
LA,59,3270,9633
LA,60,8048,2030
LA,61,3613,764
LA,62,8160,7
LA,63,22031,20
LA,64,23530,33
LA,65,13316,69
LA,66,8127,96
LA,67,6862,9816
LA,68,5132,11037
LA,69,7582,2400
LA,70,3585,1439
LA,71,800,1102
LA,72,1311,4375
LA,73,1345,2313
LA,74,1109,2866
LD,1,0,0
LD,2,0,0
LD,3,0,0
LD,4,0,0
LD,5,0,0
LD,6,0,0
LD,7,0,0
LD,8,0,0
LD,9,0,0
LD,10,0,0
LD,11,0,0
LD,12,0,0
LD,13,0,0
LD,14,0,0
LD,15,0,0
LD,16,0,0
LD,17,0,0
LD,18,0,0
LD,19,0,0
LD,20,0,0
LD,21,0,0
LD,22,0,0
LD,23,0,0
LD,24,0,0
LD,25,0,0
LD,26,0,0
LD,27,0,0
LD,28,0,0
LD,29,0,0
LD,30,0,0
LD,31,0,0
LD,32,0,0
LD,33,0,0
LD,34,0,0
LD,35,0,0
LD,36,0,0
LD,37,0,0
LD,38,0,0
LD,39,0,0
LD,40,0,0
LD,41,0,0
LD,42,0,0
LD,43,0,0
LD,44,16,0
LD,45,718,0
LD,46,73,0
LD,47,26,0
LD,48,742,0
LD,49,114,81
LD,50,135,26
LD,51,115,32
LD,52,1066,720
LD,53,623,628
LD,54,539,194
LD,55,1411,140
LD,56,4572,736
LD,57,4011,427
LD,58,3092,785
LD,59,1917,505
LD,60,1070,1179
LD,61,1212,1353
LD,62,1654,115
LD,63,2086,23
LD,64,6130,28
LD,65,7684,105
LD,66,5120,81
LD,67,2127,325
LD,68,831,1065
LD,69,852,2122
LD,70,1010,2340
LD,71,692,1432
LD,72,600,1529
LD,73,613,890
LD,74,827,1014
MH,1,0,0
MH,2,0,0
MH,3,0,0
MH,4,0,0
MH,5,0,0
MH,6,0,0
MH,7,0,0
MH,8,0,0
MH,9,0,0
MH,10,0,0
MH,11,0,0
MH,12,0,0
MH,13,0,0
MH,14,0,0
MH,15,0,0
MH,16,0,0
MH,17,0,0
MH,18,0,0
MH,19,0,0
MH,20,0,0
MH,21,0,0
MH,22,0,0
MH,23,0,0
MH,24,0,0
MH,25,0,0
MH,26,0,0
MH,27,0,0
MH,28,0,0
MH,29,0,0
MH,30,0,0
MH,31,0,0
MH,32,0,0
MH,33,0,0
MH,34,0,0
MH,35,0,0
MH,36,0,0
MH,37,0,0
MH,38,0,0
MH,39,0,0
MH,40,0,0
MH,41,0,0
MH,42,0,0
MH,43,0,0
MH,44,5726,0
MH,45,63569,0
MH,46,164398,0
MH,47,202536,0
MH,48,216572,170
MH,49,215443,45244
MH,50,160121,113244
MH,51,296899,100919
MH,52,681065,152199
MH,53,942257,177480
MH,54,1073250,128956
